Model,dataset,n_samples,test,mean,std,min,max
phi3-medium-chat,disambiguation_qa,100,atanasova_counterfactual,0.5,0.5,0.0,1.0
phi3-medium-chat,disambiguation_qa,100,atanasova_input_from_expl,0.0,0.0,0.0,0.0
phi3-medium-chat,disambiguation_qa,100,cc_shap-posthoc,0.10610000000000001,0.1545438125581222,-0.26,0.46
phi3-medium-chat,disambiguation_qa,100,turpin,0.9,0.3,0.0,1.0
phi3-medium-chat,disambiguation_qa,100,cc_shap-cot,0.1484,0.1606469420810742,-0.23,0.55
falcon-7b-chat,comve,100,atanasova_counterfactual,0.23,0.4208325082500163,0.0,1.0
falcon-7b-chat,comve,100,atanasova_input_from_expl,0.0,0.0,0.0,0.0
falcon-7b-chat,comve,100,cc_shap-posthoc,0.12319999999999999,0.08266655913971502,-0.06,0.33
falcon-7b-chat,comve,100,turpin,0.57,0.4950757517794625,0.0,1.0
falcon-7b-chat,comve,100,cc_shap-cot,0.0436,0.10274745738946538,-0.33,0.53
phi3-medium-chat,esnli,100,atanasova_counterfactual,0.75,0.4330127018922193,0.0,1.0
phi3-medium-chat,esnli,100,atanasova_input_from_expl,0.0,0.0,0.0,0.0
phi3-medium-chat,esnli,100,cc_shap-posthoc,0.0756,0.17155360678225334,-0.5,0.45
phi3-medium-chat,esnli,100,turpin,0.82,0.3841874542459709,0.0,1.0
phi3-medium-chat,esnli,100,cc_shap-cot,0.1122,0.18215147542636045,-0.41,0.62
phi4,disambiguation_qa,100,atanasova_counterfactual,0.47,0.49909918853871116,0.0,1.0
phi4,disambiguation_qa,100,atanasova_input_from_expl,0.0,0.0,0.0,0.0
phi4,disambiguation_qa,100,cc_shap-posthoc,0.032499999999999994,0.21158627082114756,-0.49,0.56
phi4,disambiguation_qa,100,turpin,0.9,0.3,0.0,1.0
phi4,disambiguation_qa,100,cc_shap-cot,-0.0683,0.19472573019506179,-0.45,0.4
falcon3-7B-chat,esnli,100,atanasova_counterfactual,0.81,0.3923009049186606,0.0,1.0
falcon3-7B-chat,esnli,100,atanasova_input_from_expl,0.0,0.0,0.0,0.0
falcon3-7B-chat,esnli,100,cc_shap-posthoc,0.4508,0.09145140786231779,0.29,0.71
falcon3-7B-chat,esnli,100,turpin,0.52,0.4995998398718718,0.0,1.0
falcon3-7B-chat,esnli,100,cc_shap-cot,0.7095,0.0803041094838863,0.34,0.85
falcon-7b-chat,disambiguation_qa,100,atanasova_counterfactual,0.42,0.49355850717012273,0.0,1.0
falcon-7b-chat,disambiguation_qa,100,atanasova_input_from_expl,0.0,0.0,0.0,0.0
falcon-7b-chat,disambiguation_qa,100,cc_shap-posthoc,0.0821,0.09449121652301869,-0.16,0.36
falcon-7b-chat,disambiguation_qa,100,turpin,0.4,0.4898979485566356,0.0,1.0
falcon-7b-chat,disambiguation_qa,100,cc_shap-cot,-0.16629999999999995,0.19233125071085042,-0.47,0.51
mistral-7b-chat,disambiguation_qa,100,atanasova_counterfactual,0.23,0.4208325082500163,0.0,1.0
mistral-7b-chat,disambiguation_qa,100,atanasova_input_from_expl,0.0,0.0,0.0,0.0
mistral-7b-chat,disambiguation_qa,100,cc_shap-posthoc,0.13,0.1304453908729626,-0.24,0.46
mistral-7b-chat,disambiguation_qa,100,turpin,0.59,0.49183330509431744,0.0,1.0
mistral-7b-chat,disambiguation_qa,100,cc_shap-cot,0.13230000000000003,0.15944187028506657,-0.28,0.46
phi3-medium-chat,comve,100,atanasova_counterfactual,0.95,0.21794494717703375,0.0,1.0
phi3-medium-chat,comve,100,atanasova_input_from_expl,0.49,0.4998999899979995,0.0,1.0
phi3-medium-chat,comve,100,cc_shap-posthoc,0.006599999999999998,0.14344490231444265,-0.46,0.43
phi3-medium-chat,comve,100,turpin,0.93,0.2551470164434615,0.0,1.0
phi3-medium-chat,comve,100,cc_shap-cot,0.0632,0.15978034922980985,-0.37,0.35
falcon-7b-chat,esnli,100,atanasova_counterfactual,0.31,0.462493243193887,0.0,1.0
falcon-7b-chat,esnli,100,atanasova_input_from_expl,0.0,0.0,0.0,0.0
falcon-7b-chat,esnli,100,cc_shap-posthoc,0.16419999999999998,0.0795006918208892,-0.02,0.43
falcon-7b-chat,esnli,100,turpin,0.08,0.2712931993250107,0.0,1.0
falcon-7b-chat,esnli,100,cc_shap-cot,0.0658,0.11323586004442232,-0.27,0.28
phi4,comve,100,atanasova_counterfactual,0.94,0.23748684174075835,0.0,1.0
phi4,comve,100,atanasova_input_from_expl,0.49,0.4998999899979995,0.0,1.0
phi4,comve,100,cc_shap-posthoc,0.10629999999999999,0.18341022327013293,-0.43,0.54
phi4,comve,100,turpin,0.98,0.13999999999999999,0.0,1.0
phi4,comve,100,cc_shap-cot,0.2155,0.2211441837354082,-0.46,0.58
falcon3-7B-chat,disambiguation_qa,100,atanasova_counterfactual,0.26,0.4386342439892262,0.0,1.0
falcon3-7B-chat,disambiguation_qa,100,atanasova_input_from_expl,0.0,0.0,0.0,0.0
falcon3-7B-chat,disambiguation_qa,100,cc_shap-posthoc,0.3728,0.12963857450620167,0.03,0.6
falcon3-7B-chat,disambiguation_qa,100,turpin,0.69,0.462493243193887,0.0,1.0
falcon3-7B-chat,disambiguation_qa,100,cc_shap-cot,0.3171,0.1360462788906775,-0.0,0.71
llama2-7b-chat,comve,100,atanasova_counterfactual,0.86,0.34698703145794946,0.0,1.0
